arrest_count,month_id,boro_id,jurisdiction_id,perp_age_id,perp_sex_id,perp_race_id,vict_age_id,vict_sex_id,vict_race_id,court_count,complaint_count,shooting_count
1,6,4,1,1,1,2,,,,308,,
1,6,3,1,1,1,5,,,,10,,
1,6,1,1,2,1,3,,,,,,
1,6,2,1,1,1,5,,,,51,,
1,6,1,1,1,2,1,,,,,,
3,6,3,1,2,1,2,,,,102,,
2,6,2,1,1,2,5,,,,4,,
1,6,1,1,3,2,4,,,,,,
1,6,1,3,2,1,2,,,,,,
1,6,1,1,1,1,2,,,,,,
2,6,4,1,2,2,2,,,,18,,
1,6,1,1,3,1,4,,,,,,
1,6,4,3,2,1,2,,,,6,,
1,6,1,1,3,1,2,,,,,,
2,6,4,1,1,2,2,,,,45,,
1,6,2,,1,2,4,,,,,,
1,6,2,1,2,1,2,,,,71,,
1,6,1,1,1,1,,,,,,,
1,6,4,1,1,1,4,,,,73,,
1,6,4,1,2,1,2,,,,154,,
1,6,2,1,1,1,4,,,,79,,
1,6,4,1,3,2,2,,,,13,,
1,6,3,2,1,1,2,,,,20,,
1,6,3,1,3,1,2,,,,81,,
1,6,4,1,3,1,3,,,,63,,
2,6,3,1,1,1,2,,,,198,,
1,6,4,1,1,1,3,,,,78,,
1,6,1,1,4,1,2,,,,,,
1,6,5,1,1,2,3,,,,2,,
1,6,1,1,1,2,,,,,,,
1,6,3,1,1,2,4,,,,28,,
1,6,3,1,3,2,2,,,,12,,
1,6,2,1,1,1,2,,,,136,,
1,6,1,1,1,1,4,,,,,,
1,6,3,1,1,1,1,,,,61,,
1,6,2,1,1,1,3,,,,21,,
1,6,3,1,1,1,3,,,,12,,
1,6,2,3,1,1,2,,,,7,,
2,6,2,1,2,1,5,,,,30,,
1,6,1,1,1,1,5,,,,,,
1,6,3,1,2,1,4,,,,96,,
1,6,1,1,1,2,2,,,,,,
1,6,2,1,3,1,5,,,,10,,
1,6,3,1,2,2,4,,,,12,,
1,6,2,1,4,1,2,,,,17,,
1,6,1,,4,1,4,,,,,,
1,6,1,,2,2,2,,,,,,
1,6,1,1,2,1,2,,,,,,
1,6,5,1,3,1,3,,,,6,,
1,6,3,1,4,1,1,,,,4,,
1,6,2,1,2,1,4,,,,43,,
1,6,4,1,3,1,2,,,,192,,
1,6,3,1,1,1,4,,,,125,,
1,6,4,1,1,1,1,,,,11,,
1,6,1,2,2,1,4,,,,,,
3,6,1,1,1,1,1,,,,,,
2,6,1,1,2,1,4,,,,,,
1,6,2,,1,1,5,,,,,,
12,6,3,3,2,1,2,,,,14,,
1,6,3,1,1,2,1,,,,16,,
1,6,3,1,3,1,3,,,,11,,
1,6,4,1,1,1,5,,,,45,,
2,6,2,1,2,1,1,,,,6,,
2,6,5,1,3,1,4,,,,1,,
1,6,5,1,1,1,3,,,,22,,
1,6,5,1,1,1,2,,,,25,,
1,6,4,3,1,1,2,,,,12,,
1,6,4,1,2,1,4,,,,47,,
1,6,1,1,3,1,3,,,,,,
1,6,4,1,5,1,2,,,,12,,
1,6,1,,1,1,2,,,,,,
1,6,1,,1,2,4,,,,,,
1,6,1,1,3,2,2,,,,,,
1,6,1,,3,1,4,,,,,,
1,6,3,1,3,1,1,,,,20,,
1,6,1,,3,1,3,,,,,,
2,6,2,1,4,2,2,,,,5,,
1,6,4,1,3,1,1,,,,7,,
1,6,5,1,1,1,5,,,,2,,
1,6,1,,1,1,3,,,,,,
1,6,3,1,5,1,2,,,,4,,
1,6,1,1,3,1,6,,,,,,
2,6,1,1,1,1,3,,,,,,
1,6,3,,1,1,2,,,,,,
1,6,1,1,2,2,2,,,,,,
1,6,1,,2,1,2,,,,,,
1,6,1,2,3,1,2,,,,,,
1,6,1,,3,1,2,,,,,,
1,6,3,1,5,1,3,,,,,,
1,6,4,1,4,1,4,,,,4,,
2,6,2,1,1,1,1,,,,15,,
1,6,1,3,1,1,4,,,,,,
2,6,3,1,2,1,1,,,,67,,
1,6,3,3,1,1,1,,,,7,,
1,6,2,1,1,2,2,,,,23,,
1,6,4,3,3,1,2,,,,,,
1,6,5,1,4,1,2,,,,9,,
1,6,1,1,4,2,4,,,,,,
1,6,3,1,2,2,1,,,,9,,
1,6,2,1,3,1,2,,,,76,,
1,6,3,3,3,1,2,,,,10,,
1,6,4,2,2,2,2,,,,2,,
1,6,4,2,2,1,4,,,,5,,
1,6,4,1,4,1,2,,,,30,,
1,6,2,,1,1,4,,,,,,
1,6,3,1,1,2,2,,,,30,,
1,6,2,1,1,2,4,,,,15,,
1,6,1,1,3,1,1,,,,,,
1,6,4,,1,1,4,,,,,,
1,6,3,1,3,1,4,,,,55,,
1,6,1,,1,2,2,,,,,,
1,6,4,1,2,1,3,,,,27,,
1,6,2,,1,2,3,,,,,,
3,6,4,2,4,2,2,,,,2,,
1,6,4,1,1,2,5,,,,3,,
1,6,1,3,1,1,2,,,,,,
1,6,2,1,1,2,1,,,,,,
1,6,4,3,3,1,4,,,,4,,
1,6,1,1,3,2,3,,,,,,
1,6,2,1,2,2,2,,,,16,,
2,6,1,2,3,2,2,,,,,,
1,6,2,1,5,1,3,,,,2,,
1,6,2,1,3,1,3,,,,7,,
1,6,2,1,3,2,2,,,,6,,
1,6,3,1,3,2,4,,,,9,,
1,6,3,,2,1,1,,,,,,
7,6,3,3,1,1,2,,,,44,,
1,6,4,1,2,1,1,,,,11,,
1,6,4,1,2,1,5,,,,19,,
1,6,1,,2,1,1,,,,,,
1,6,3,3,4,1,2,,,,1,,
2,6,1,1,1,2,3,,,,,,
1,6,3,2,3,1,4,,,,6,,
1,6,3,3,2,1,4,,,,22,,
1,6,4,1,3,1,4,,,,38,,
1,6,2,3,2,1,5,,,,2,,
1,6,3,,1,1,4,,,,,,
1,6,2,,2,2,4,,,,,,
1,6,2,1,2,2,3,,,,1,,
1,6,4,1,3,2,4,,,,2,,
1,6,2,,3,1,4,,,,,,
1,6,3,1,3,1,5,,,,3,,
1,6,4,1,1,2,3,,,,13,,
1,6,4,1,2,2,3,,,,3,,
1,6,5,1,2,1,2,,,,19,,
1,6,1,1,2,1,1,,,,,,
1,6,4,1,1,1,,,,,23,,
1,6,4,,1,1,3,,,,,,
1,6,3,,2,1,4,,,,,,
1,6,2,,2,1,4,,,,,,
1,6,2,1,4,1,5,,,,4,,
1,6,2,1,3,2,4,,,,6,,
2,6,5,1,2,1,5,,,,1,,
1,6,4,2,1,1,1,,,,,,
3,6,1,1,5,1,1,,,,,,
1,6,3,2,2,1,4,,,,11,,
1,6,3,2,4,1,4,,,,3,,
1,6,3,1,2,2,2,,,,19,,
1,6,2,,1,1,3,,,,,,
1,6,2,1,3,2,3,,,,1,,
1,6,2,,3,1,3,,,,,,
1,6,5,1,1,1,4,,,,20,,
1,6,1,2,1,1,3,,,,,,
1,6,5,1,1,2,2,,,,9,,
1,6,4,1,1,2,4,,,,11,,
1,6,4,2,4,1,2,,,,5,,
1,6,1,,1,1,4,,,,,,
1,6,4,1,5,1,3,,,,1,,
2,6,1,2,1,2,2,,,,,,
1,6,2,1,3,1,1,,,,2,,
1,6,4,1,3,2,3,,,,2,,
1,6,2,1,2,2,4,,,,3,,
1,6,3,,1,2,2,,,,,,
1,6,2,,1,1,2,,,,,,
1,6,3,2,2,2,2,,,,2,,
1,6,5,1,3,1,2,,,,10,,
2,6,4,2,3,1,2,,,,5,,
1,6,5,1,1,2,4,,,,2,,
1,6,4,2,2,1,2,,,,16,,
1,6,4,2,1,1,4,,,,3,,
1,6,4,2,5,2,4,,,,,,
1,6,2,1,2,2,1,,,,,,
1,6,5,,3,2,2,,,,,,
1,6,4,3,1,1,4,,,,3,,
1,6,4,1,4,1,5,,,,3,,
1,6,4,,3,1,2,,,,,,
1,6,5,1,1,1,1,,,,5,,
1,6,2,1,5,2,5,,,,,,
1,6,2,1,3,1,4,,,,32,,
1,6,3,3,1,1,4,,,,25,,
1,6,1,2,3,2,4,,,,,,
1,6,1,1,1,1,6,,,,,,
1,6,4,,1,1,2,,,,,,
1,6,2,1,2,1,3,,,,13,,
2,6,5,1,2,1,3,,,,12,,
1,6,1,1,2,2,4,,,,,,
1,6,4,1,2,2,,,,,1,,
1,6,4,1,1,2,1,,,,4,,
1,6,1,3,1,1,,,,,,,
1,6,4,3,2,1,5,,,,,,
1,6,1,3,3,1,1,,,,,,
1,6,3,,1,2,4,,,,,,
2,6,1,1,1,2,5,,,,,,
1,6,1,1,1,2,4,,,,,,
1,6,3,2,1,1,4,,,,15,,
1,6,1,3,2,2,4,,,,,,
1,6,1,1,4,1,1,,,,,,
1,6,3,,2,2,2,,,,,,
1,6,2,1,4,1,4,,,,8,,
5,6,4,1,4,1,1,,,,2,,
1,6,5,,3,1,3,,,,,,
1,6,4,1,4,2,2,,,,9,,
2,6,4,1,3,2,1,,,,1,,
1,6,3,1,3,1,,,,,1,,
1,6,2,1,4,2,5,,,,,,
1,6,3,1,4,1,4,,,,10,,
1,6,5,1,2,1,1,,,,3,,
1,6,1,3,3,1,2,,,,,,
1,6,5,1,2,1,4,,,,11,,
1,6,1,1,5,1,3,,,,,,
1,6,1,3,2,1,4,,,,,,
1,6,3,2,2,1,2,,,,18,,
1,6,4,,5,1,4,,,,,,
1,6,1,2,1,1,2,,,,,,
2,6,5,1,3,2,3,,,,2,,
1,6,2,3,3,1,5,,,,,,
1,6,1,1,3,1,,,,,,,
1,6,4,,2,1,2,,,,,,
2,6,3,1,4,1,2,,,,11,,
1,6,4,2,3,2,2,,,,,,
1,6,5,1,3,1,1,,,,,,
1,6,1,2,1,1,4,,,,,,
1,6,2,1,2,2,5,,,,1,,
1,6,1,,5,2,2,,,,,,
1,6,1,3,3,1,3,,,,,,
1,6,1,3,3,1,4,,,,,,
1,6,4,1,5,2,3,,,,,,
1,6,3,1,1,2,3,,,,3,,
1,6,1,,1,1,6,,,,,,
1,6,3,3,1,1,3,,,,1,,
1,6,1,3,1,1,1,,,,,,
1,6,2,,2,2,3,,,,,,
1,6,1,1,2,1,5,,,,,,
1,6,2,1,3,2,5,,,,2,,
1,6,4,1,4,2,4,,,,1,,
1,6,4,3,2,1,4,,,,2,,
1,6,4,2,1,1,2,,,,36,,
1,6,4,,1,2,2,,,,,,
2,6,3,1,1,1,6,,,,4,,
1,6,5,,4,1,3,,,,,,
1,6,1,2,1,2,4,,,,,,
4,6,2,1,4,2,4,,,,,,
1,6,1,3,3,2,3,,,,,,
2,6,3,2,3,1,2,,,,9,,
1,6,1,1,4,1,3,,,,,,
1,6,2,,1,1,1,,,,,,
1,6,1,3,1,2,4,,,,,,
1,6,1,,2,1,3,,,,,,
1,6,4,1,3,1,5,,,,9,,
1,6,2,3,3,1,2,,,,,,
1,6,2,1,1,2,3,,,,5,,
1,6,2,2,2,1,2,,,,1,,
1,6,1,1,3,1,5,,,,,,
1,6,3,1,2,2,3,,,,5,,
1,6,3,2,3,1,1,,,,4,,
1,6,2,2,4,1,2,,,,,,
1,6,3,2,4,1,2,,,,9,,
1,6,3,2,2,2,4,,,,1,,
1,6,2,2,2,1,,,,,,,
1,6,2,2,3,1,2,,,,,,
5,6,1,1,5,2,3,,,,,,
1,6,2,2,1,2,2,,,,1,,
1,6,2,1,2,1,6,,,,5,,
1,6,1,1,4,2,2,,,,,,
1,6,2,2,2,2,2,,,,1,,
1,6,5,,2,1,3,,,,,,
1,6,2,3,3,1,3,,,,,,
1,6,4,1,2,2,5,,,,1,,
1,6,2,2,4,1,4,,,,,,
1,6,2,1,4,1,,,,,,,
1,6,5,1,2,2,3,,,,5,,
1,6,1,3,4,1,2,,,,,,
1,6,2,2,3,2,2,,,,,,
1,6,2,1,4,1,3,,,,2,,
1,6,1,2,2,1,1,,,,,,
1,6,1,1,5,1,4,,,,,,
2,6,1,1,3,2,,,,,,,
1,6,2,1,4,1,1,,,,2,,
1,6,2,2,1,1,2,,,,1,,
1,6,3,1,3,2,1,,,,1,,
1,6,4,1,2,2,4,,,,7,,
1,6,3,1,4,2,4,,,,1,,
1,6,3,1,4,2,1,,,,1,,
1,6,4,2,2,2,1,,,,,,
1,6,3,1,3,1,6,,,,1,,
1,6,1,,1,2,3,,,,,,
1,6,2,,2,1,2,,,,,,
1,6,4,,3,2,2,,,,,,
1,6,5,1,1,1,,,,,,,
1,6,3,1,2,1,3,,,,3,,
1,6,4,1,4,2,5,,,,1,,
1,6,4,3,1,2,2,,,,4,,
1,6,1,2,2,1,2,,,,,,
2,6,5,1,4,1,3,,,,9,,
1,6,3,,3,1,4,,,,,,
1,6,1,,3,1,5,,,,,,
1,6,3,1,4,1,3,,,,,,
1,6,5,,1,1,3,,,,,,
1,6,3,,2,1,2,,,,,,
1,6,1,,1,1,,,,,,,
1,6,1,1,2,1,6,,,,,,
2,6,2,3,3,1,4,,,,,,
1,6,4,,2,2,2,,,,,,
1,6,3,1,2,1,5,,,,8,,
1,6,1,3,1,1,3,,,,,,
1,6,3,,2,1,,,,,,,
1,6,1,1,4,1,4,,,,,,
1,6,3,,3,1,2,,,,,,
1,6,4,,1,2,1,,,,,,
